1st,2nd,3rd,4th,5th,count
217572,217605,221183,218127,219469,147
219469,219978,218491,217605,218922,146
219469,218491,221141,217605,218117,146
217572,217796,219978,218491,219469,146
217572,221183,217605,219469,218127,146
217796,219978,219469,217605,221183,146
219469,219978,217605,217796,221183,146
217572,219978,219469,217796,218127,145
217572,219469,218127,218491,217605,145
219469,217605,218491,219978,221141,145
219978,221183,218127,217605,217572,145
219978,221183,217605,218127,219469,144
219978,219469,217605,218127,217796,144
217572,219978,221183,218127,217796,144
219469,217572,218127,221183,217605,144
217572,217605,219978,221183,218127,144
219469,219978,217605,221183,218117,144
217605,219978,221183,219469,217572,143
217572,219978,219469,218127,217605,143
217572,217796,219469,217605,218491,143
219469,217572,218127,221183,217796,143
217572,219469,217605,217796,218491,143
219469,219978,221183,218491,217572,143
217572,221183,219469,218127,219978,143
219469,218491,221141,218117,219978,142
219978,217605,217796,219469,217572,142
219469,217605,219978,218491,221141,142
219469,219978,221183,217796,217605,142
219469,218491,219978,221183,218127,142
219469,219978,218491,218117,217605,141
219978,217796,217572,219469,221183,141
219469,218491,219978,217572,221183,141
219469,219978,217572,217796,221183,141
217572,217605,217796,219978,219469,141
218491,219469,217605,219978,217796,141
219978,217605,218127,219469,221183,141
217572,221183,217605,219469,217796,141
217572,219469,217605,221183,218491,141
219469,219978,217605,218127,221183,140
217572,217796,219469,217605,218127,140
217796,219978,217605,221183,217572,139
219469,219978,221183,218127,217605,139
217605,219978,217572,221183,217796,139
219978,217605,217796,217572,221183,139
219469,219978,221183,217572,217796,139
219978,217796,221183,218127,217605,139
219469,218491,221141,218117,217605,139
219978,221183,218127,217796,217572,138
217572,219978,219469,217605,218491,138
219469,218491,221141,217605,219978,138
219978,217572,221183,219469,217796,137
217572,219978,221183,219469,217796,137
217572,219978,217796,218491,219469,137
217572,217605,218127,221183,219469,137
217572,218127,217796,219978,217605,137
217572,217796,219469,221183,218127,136
217605,219469,219978,221183,217796,136
217572,219978,219469,221183,217605,136
217572,219469,218127,219978,218491,136
217572,219978,221183,219469,217605,135
217572,218127,219978,217796,221183,135
219978,218127,217605,221183,217796,135
219469,217605,219978,221183,217572,135
219469,217572,217796,219978,221183,134
219978,221183,217572,217796,217605,134
219978,221183,217605,218127,217796,134
219469,218491,219978,221183,217572,134
219978,217796,217605,217572,219469,134
217572,217796,217605,219978,219469,134
217572,221183,219469,217796,219978,134
